	CON	LIB	DEM	GRE	NOU	COM	LIB	CEP	IND
E00001	82	87	50	8	3	1	1	3	0
E00002	84	86	50	7	3	1	1	3	0
E00003	81	90	50	6	3	1	1	3	0
E00004	79	94	49	6	3	1	0	3	0
E00005	78	96	48	5	3	1	1	3	0
E00006	80	96	46	5	3	1	1	3	0
E00007	80	93	49	6	3	1	0	3	0
E00008	79	93	49	6	3	1	1	3	0
E00009	79	96	46	6	3	1	1	3	0
E00010	78	97	46	6	3	1	1	3	0
E00011	79	96	46	7	3	1	0	3	0
E00012	78	92	49	8	3	1	1	3	0
E00013	80	90	49	8	3	1	1	3	0
E00014	80	88	49	9	3	2	1	3	0
E00015	79	91	49	7	3	2	1	3	0
E00016	79	87	52	8	3	2	1	3	0
E00017	82	85	52	7	3	2	1	3	0
E00018	83	86	50	8	3	1	1	3	0
E00019	82	84	51	10	3	2	0	3	0
E00020	82	83	53	8	3	2	0	4	0
E00021	80	82	56	9	3	1	0	4	0
E00022	81	79	56	10	3	2	0	4	0
E00023	78	81	58	10	3	1	0	4	0
E00024	76	83	57	10	3	2	0	4	0
E00025	78	81	57	10	3	2	0	4	0
E00026	76	84	57	9	3	1	1	4	0
E00027	74	86	59	8	3	1	0	4	0
E00028	68	91	61	8	3	1	0	3	0
E00029	68	93	58	9	3	1	0	3	0
E00030	68	92	58	10	3	1	0	3	0
E00031	68	97	53	10	3	1	0	3	0
E00032	66	99	54	9	3	1	0	3	0
E00033	68	93	58	9	3	1	0	3	0
E00034	68	92	58	9	3	1	0	4	0
E00035	70	91	59	8	3	1	0	3	0
E00036	68	95	57	8	3	1	0	3	0
E00037	65	97	59	7	3	1	0	3	0
E00038	69	98	55	6	3	1	0	3	0
E00039	66	100	56	7	3	1	0	2	0
E00040	65	104	53	6	3	1	0	3	0
E00041	66	101	54	7	3	1	0	3	0
E00042	66	98	57	7	3	1	0	3	0
E00043	67	97	57	7	3	1	0	3	0
E00044	73	92	57	6	3	1	0	3	0
E00045	71	92	59	6	3	1	0	3	0
E00046	73	93	56	6	3	1	0	3	0
E00047	72	94	55	6	3	1	1	3	0
E00048	75	90	58	5	3	1	0	3	0
E00049	76	89	58	5	3	1	0	3	0
E00050	74	93	55	5	3	1	1	3	0
