	CON	LIB	DEM	GRE	NOU	COM	LIB	CEP	IND
E00001	7931071	8402650	4644839	883609	522965	319300	223339	54878	82500
E00002	8190653	8250647	4673050	761705	518701	316710	219426	52910	81349
E00003	8015426	8600989	4522171	734672	513546	312940	229174	54270	81963
E00004	7614038	8942712	4568413	733150	514375	320133	233639	54943	83748
E00005	7678525	9023007	4462228	738920	486527	312680	225201	55035	83028
E00006	7831643	9151144	4212859	732846	474801	300732	224327	54263	82536
E00007	7694287	8832373	4635320	730586	480409	301545	246636	56834	87161
E00008	7704369	8853176	4570408	773406	490875	309266	223907	53884	85860
E00009	7529385	9176887	4436557	770685	521163	284649	208079	52584	85162
E00010	7422351	9232843	4385543	830584	548369	301266	207727	52079	84389
E00011	7488532	9213459	4310824	860770	539530	326974	186219	52181	86662
E00012	7436048	8823234	4715870	909707	524216	312373	201316	53640	88747
E00013	7873693	8534661	4586560	882559	506217	324241	213669	55390	88161
E00014	8015122	8385171	4623980	879938	482512	323340	212512	54421	88155
E00015	7779446	8619039	4635174	881311	452344	326988	226170	54835	89844
E00016	7762832	8334900	4871474	908145	497307	331928	211996	55515	91054
E00017	8002154	8132042	4829841	924674	492902	342157	194984	55504	90893
E00018	8083117	8289531	4573368	934728	497465	345313	194016	54696	92917
E00019	8070589	8077690	4786676	980617	463679	342546	196207	55516	91631
E00020	8055644	7925906	4925865	986041	471924	347277	201524	57940	93030
E00021	7896955	7817950	5163589	1004255	490500	336600	199937	59589	95776
E00022	7995629	7612393	5207492	1076469	485898	332523	194865	62336	97546
E00023	7629480	7845524	5317759	1100865	508537	304728	192973	66261	99024
E00024	7287690	8089391	5315570	1133332	548470	322114	198752	68795	101037
E00025	7515417	8000426	5297860	1058512	523660	311329	197236	64336	96375
E00026	7281823	8290818	5287454	1007010	525374	302127	211326	63642	95577
E00027	6905136	8459040	5545082	997919	516647	289139	197386	60240	94562
E00028	6615282	8772150	5560707	973212	528966	270623	192521	59383	92307
E00029	6478424	9116241	5395281	967334	520444	248802	184988	61253	92384
E00030	6493518	9015648	5473599	1008177	510049	232659	178746	60294	92461
E00031	6476365	9313651	5150533	1045040	514046	229478	183174	59335	93529
E00032	6273176	9537729	5249899	984452	475245	211911	181123	59066	92550
E00033	6524975	9060831	5410235	997007	508433	218270	189543	61501	94356
E00034	6617334	8934681	5510604	948388	503887	196266	196186	61231	96574
E00035	6696004	8928090	5485217	894195	493668	198361	213814	58918	96884
E00036	6450172	9333073	5402959	863645	480036	193461	194385	55377	92043
E00037	6232812	9379450	5652854	787437	475470	193016	196729	54203	93180
E00038	6557445	9450837	5315746	760065	466739	181696	189136	54259	89228
E00039	6344385	9616453	5420247	753762	447921	170663	176690	49364	85666
E00040	6340270	10080084	5013692	718817	444187	157643	178621	48993	82844
E00041	6436572	9687416	5219632	756739	489175	158880	181632	48850	86255
E00042	6192826	9544885	5553708	739048	540265	166000	188895	50473	89051
E00043	6358466	9368713	5496122	779242	556182	170191	190023	54332	91880
E00044	6914111	8985348	5299899	803227	563620	163975	190278	52648	92045
E00045	6644054	9155943	5467363	738378	567997	147997	198853	52611	91955
E00046	7063273	8986423	5198336	735446	578873	148560	209659	51949	92632
E00047	7103143	9025223	5090088	701931	626154	146813	226717	51830	93252
E00048	7201162	8744933	5247940	681180	662563	152009	227583	51614	96167
E00049	7435160	8534617	5308977	630609	659098	136699	218237	49152	92602
E00050	7155396	9011250	5122370	601522	664159	138800	231152	48032	92470
